,logFC,AveExpr,t,P.Value,adj.P.Val,B
DLX5,-0.440042909448104,2.63204657085703,-11.1641552194629,6.92422801367118e-23,3.25518534832905e-21,41.2855057151807
RRM2,-0.3288500594471,3.29051645820889,-11.1228583991506,9.23588614007188e-23,4.26813061198279e-21,41.0004443846316
NEIL3,-0.31768519696873,2.60683781445072,-11.1062343560524,1.03707616350349e-22,4.77904617379445e-21,40.8857637923218
MYB,-0.297760933331618,2.51755792995881,-11.0528402402116,1.50436270750792e-22,6.76051483404316e-21,40.5177053518907
SLC16A1,-0.348299833825465,2.74282488969347,-10.7555561472008,1.18390882825677e-21,4.79399617684004e-20,38.4766645925882
PAX6,-0.36838154065187,2.47263754877863,-10.7555059943213,1.18431953611631e-21,4.79399617684004e-20,38.476321493025
GAS2L3,-0.275107297997615,2.86491304452184,-10.7230029988422,1.48270002391185e-21,5.89933792440828e-20,38.2540573093145
CAPN8,0.484054073986728,2.68287488195348,10.6356527198284,2.70969829406367e-21,1.04297471006597e-19,37.6576493459777
CNTNAP2,-0.41602498096084,2.501691937974,-10.6119312562365,3.19107251379462e-21,1.22078479552186e-19,37.495919509125
AQP3,0.30458897086836,3.22539236665336,10.4401730120425,1.0395110067179e-20,3.73514164153945e-19,36.327996732636
