,logFC,AveExpr,t,P.Value,adj.P.Val,B
PIMREG,-2.23760918440961,2.59547835918425,-25.5568242440393,4.08499563357246e-77,6.32201705195738e-75,165.234274919043
PKMYT1,-2.01670445792298,2.71368077792507,-25.5168011754163,5.63279951778704e-77,8.64878666116908e-75,164.913655480186
WDR76,-1.65168575964774,3.06128898694405,-25.4006131062925,1.43303148417418e-76,2.18313390167161e-74,163.981815280033
HMMR,-2.19688834021363,3.33696851088096,-25.3874258583784,1.59340711560862e-76,2.40863866312931e-74,163.875951538879
TACC3,-1.75707771950741,4.45910635724913,-25.3704539901707,1.82655509554416e-76,2.73983264331623e-74,163.739675721666
PARPBP,-1.6732534221838,2.23594251378665,-25.2628491081415,4.34495419979459e-76,6.46767991572478e-74,162.87487299795
AURKA,-2.34211032060968,4.33263011481686,-25.2263114170298,5.83325443528222e-76,8.61730768848509e-74,162.580916636283
KIF18A,-1.66183593583767,2.39242621212548,-25.1055010860181,1.54658097136103e-75,2.2675435294391e-73,161.607851222199
IQGAP3,-2.22395979017962,3.49679853315327,-25.0904282630632,1.74685667194571e-75,2.54206754499562e-73,161.486327912171
TYMS,-1.97845441051285,4.67521531061184,-25.0703730344457,2.05419148448824e-75,2.96716547759412e-73,161.32459340388
CHAF1A,-1.4823190039457,3.73629079381843,-24.8942345671604,8.54407114127855e-75,1.22506902393332e-72,159.902127981418
CENPU,-2.03931389577231,3.80706652223708,-24.7808509976569,2.14270460401362e-74,3.04983502031136e-72,158.984565496479
CDK2,-1.35050107875696,4.77866582017314,-24.6367366107088,6.90882647634602e-74,9.76247219483677e-72,157.816184108548
KIF20B,-1.62262067676315,2.82062241054625,-24.6160686276571,8.17346172307741e-74,1.14663671654683e-71,157.648427731605
CENPN,-1.56119690293821,3.18097348744551,-24.6032054247527,9.07509144984977e-74,1.2640305948005e-71,157.543996073241
INCENP,-1.68682393837452,4.03463447150685,-24.5925544489047,9.89661056337978e-74,1.3686801842972e-71,157.457510435023
KNTC1,-1.69256778317926,3.01958844479057,-24.5668638214061,1.21979791422465e-73,1.67507460051977e-71,157.248850168225
UBE2C,-3.05132322839328,5.66802466835398,-24.5530287302159,1.36521270730419e-73,1.86165369177844e-71,157.136449972804
HELLS,-1.7009631697615,2.34967003188435,-24.342777026569,7.58011078101287e-73,1.02647333492883e-70,155.425641955277
ZNF367,-1.66086377216074,2.51830306862404,-24.2654525813495,1.42565164913026e-72,1.91725566607172e-70,154.795206264664
CENPO,-1.3864373667014,3.00619682337178,-24.1992981247045,2.44878813958897e-72,3.27064169328664e-70,154.255310618799
CDC7,-1.77915915972659,3.16888415721169,-24.1920188760775,2.59905392665191e-72,3.44772459657907e-70,154.195873891229
CHAF1B,-1.55704477443947,3.04920942997885,-24.1814812016123,2.83309726454418e-72,3.7327970715278e-70,154.109820931367
E2F8,-1.91231750456801,2.52241553687035,-24.1471619816923,3.75192145436881e-72,4.9102327758518e-70,153.829477132618
PSRC1,-1.6121561387014,3.07346314386382,-24.088290136211,6.07649821939634e-72,7.89944768521524e-70,153.348265852505
MIS18A,-1.3932982949985,4.50876223381214,-24.0639585193745,7.41730864568313e-72,9.57864361528616e-70,153.149270208431
GINS4,-1.77637803847377,2.13352439169004,-24.0557804025782,7.93154034642569e-72,1.01753313654803e-69,153.082370964373
UBE2T,-2.14391206489163,5.39561102775075,-23.9394753980766,2.05924174381477e-71,2.62452379113647e-69,152.130167154474
PCLAF,-2.01063825833362,3.59784883884161,-23.8675823612898,3.71668623183934e-71,4.70619360525111e-69,151.540828082677
ECT2,-1.99680489179469,4.69369197272596,-23.8653316780807,3.78606639637465e-71,4.76311578898746e-69,151.522369124944
CENPK,-1.72803274557035,2.36278906669856,-23.8561610160076,4.08243539790651e-71,5.10304424738313e-69,151.447150315917
CENPW,-2.09389683421531,4.4744720315061,-23.8093055940419,6.00085839479659e-71,7.45329545850533e-69,151.062693960783
FBXO5,-1.51988623218132,3.00735436323068,-23.8043164096396,6.25220216944388e-71,7.71632546228833e-69,151.021742832313
CENPH,-1.55199830143693,3.55124524874196,-23.7330180883829,1.12412259861546e-70,1.37864092283028e-68,150.436232767006
FAM111B,-2.13604503000894,3.04988838012689,-23.732147825471,1.13220479337563e-70,1.37987459192655e-68,150.429082668753
TMPO,-1.4903203745456,5.27321627117785,-23.7308812684676,1.14407150641685e-70,1.38567666926265e-68,150.418676463765
POC1A,-1.58138786372614,3.63458122347205,-23.7252709137325,1.19815264168956e-70,1.4422207724041e-68,150.372578940604
EZH2,-1.80420608098546,3.68997566139456,-23.6442549890004,2.33526646772894e-70,2.79372368838738e-68,149.706532666111
C1orf112,-1.25528592911603,2.50394714887968,-23.4877781426535,8.49134479973479e-70,1.00964160728554e-67,148.418116961793
PSMC3IP,-1.39279614736398,2.54417925336776,-23.4786883102513,9.1533309869951e-70,1.08175729846306e-67,148.343191943013
